-53208,-52489,-51770,-51051,-50333,-49614,-48895,-48176
-49904,-48242,-46579,-44916,-43254,-41591,-39928,-38266
-46601,-43995,-41388,-38782,-36175,-33568,-30962,-28355
-43298,-39747,-36197,-32647,-29096,-25546,-21995,-18445
-39994,-35500,-31006,-26512,-22017,-17523,-13029,-8534.8
-36691,-31253,-25815,-20377,-14939,-9500.6,-4062.5,1375.5
-33387,-27005,-20624,-14242,-7859.8,-1477.9,4904,11286
-30084,-22758,-15432,-8106.7,-780.98,6544.7,13870,21196
-26780,-18511,-10241,-1971.7,6297.8,14567,22837,31106
-23477,-14264,-5050.2,4163.2,13377,22590,31803,41017
